,COURSE NUMBER,SECTION,TITLE,EXAM DATE,TIME,BUILDING,ROOM,ROW,FROM,TO
535,LING 331,001,Phonology 1,12/10/2019,18:30,GYM,Fieldhouse,1-3,AAA,ZZZ
536,LING 360,001,Introduction to Semantics,12/13/2019,9:00,MAASS,112,,AAA,ZZZ
537,LING 371,001,Syntax 1,12/9/2019,9:00,GYM,main gym,38-41,AAA,ZZZ
538,LING 461,001,Formal Methods in Linguistics,12/19/2019,9:00,PE1085,002,,AAA,ZZZ
539,LLCU 199,001,FYS: Literary Animals,12/12/2019,18:30,TAKE,HOME,,AAA,ZZZ
540,LSCI 204,001,Genetics,12/20/2019,9:00,CENTEN,Ballroom,,AAA,ZZZ
541,LSCI 211,001,Biochemistry 1,12/12/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
542,MATH 122,001,Calculus for Management,12/9/2019,18:30,GYM,Studio 1,1-7,AAA,McF
543,MATH 122,001,Calculus for Management,12/9/2019,18:30,GYM,Studio 2,1-7,MEH,ZZZ
544,MATH 123,001,Linear Algebra and Probability,12/11/2019,14:00,GYM,main gym,32-37,AAA,ZZZ
545,MATH 125,001,Math.Techniques for Economics,12/20/2019,9:00,GYM,main gym,43-44,AAA,ZZZ
546,MATH 133,001,Linear Algebra and Geometry,12/5/2019,18:30,GYM,Fieldhouse,1-40,AAA,ZZZ
547,MATH 133,002,Linear Algebra and Geometry,12/5/2019,18:30,GYM,Fieldhouse,1-40,AAA,ZZZ
548,MATH 133,003,Linear Algebra and Geometry,12/5/2019,18:30,GYM,Fieldhouse,1-40,AAA,ZZZ
549,MATH 133,004,Linear Algebra and Geometry,12/5/2019,18:30,GYM,Fieldhouse,1-40,AAA,ZZZ
550,MATH 139,001,Calculus 1 with Precalculus,12/11/2019,14:00,GYM,Fieldhouse,39-46,AAA,ZZZ
551,MATH 140,001,Calculus 1,12/10/2019,14:00,GYM,Fieldhouse,1-35,AAA,ZZZ
552,MATH 140,002,Calculus 1,12/10/2019,14:00,GYM,Fieldhouse,1-35,AAA,ZZZ
553,MATH 140,003,Calculus 1,12/10/2019,14:00,GYM,Fieldhouse,1-35,AAA,ZZZ
554,MATH 141,001,Calculus 2,12/11/2019,14:00,GYM,Fieldhouse,1-17,AAA,ZZZ
555,MATH 141,002,Calculus 2,12/11/2019,14:00,GYM,Fieldhouse,1-17,AAA,ZZZ
556,MATH 150,001,Calculus A,12/12/2019,14:00,GYM,main gym,13-16,AAA,ZZZ
